transaction,tag
PAY Starbucks 123,coffee_shop
IMPS Starbucks DEL,coffee_shop
PAY Starbucks BLR,coffee_shop
SQ *Starbucks HYD,coffee_shop
SWIPE Starbucks,coffee_shop
IMPS Starbucks BLR,coffee_shop
PAY Starbucks,coffee_shop
UPI Starbucks 123,coffee_shop
PAY Starbucks DEL,coffee_shop
Starbucks DEL,coffee_shop
UPI Starbucks 001,coffee_shop
IMPS Starbucks 001,coffee_shop
UPI Starbucks,coffee_shop
TRX Starbucks INDIA,coffee_shop
Starbucks,coffee_shop
PAY Starbucks DEL,coffee_shop
PAY Starbucks 123,coffee_shop
SQ *Starbucks,coffee_shop
Starbucks HYD,coffee_shop
UPI Starbucks DEL,coffee_shop
UPI Starbucks HYD,coffee_shop
SQ *Starbucks DEL,coffee_shop
IMPS Starbucks,coffee_shop
UPI Starbucks,coffee_shop
IMPS Starbucks INDIA,coffee_shop
PAY Starbucks,coffee_shop
PAY Starbucks BLR,coffee_shop
PAY Starbucks 001,coffee_shop
SWIPE Starbucks 001,coffee_shop
PAY Starbucks BLR,coffee_shop
UPI Starbucks 123,coffee_shop
TRX Starbucks,coffee_shop
IMPS Starbucks,coffee_shop
IMPS Starbucks,coffee_shop
PAY Starbucks BLR,coffee_shop
PAY Starbucks 123,coffee_shop
SQ *Starbucks 001,coffee_shop
SQ *Starbucks,coffee_shop
TRX Starbucks,coffee_shop
UPI Starbucks INDIA,coffee_shop
Starbucks DEL,coffee_shop
SQ *Starbucks DEL,coffee_shop
PAY Starbucks,coffee_shop
TRX Starbucks 001,coffee_shop
PAY Starbucks DEL,coffee_shop
Starbucks DEL,coffee_shop
SWIPE Starbucks HYD,coffee_shop
SWIPE Starbucks DEL,coffee_shop
SQ *Starbucks BLR,coffee_shop
SWIPE Starbucks,coffee_shop
IMPS Barista BLR,coffee_shop
SWIPE Barista HYD,coffee_shop
TRX Barista 123,coffee_shop
PAY Barista,coffee_shop
PAY Barista,coffee_shop
SWIPE Barista DEL,coffee_shop
UPI Barista,coffee_shop
IMPS Barista DEL,coffee_shop
SQ *Barista 123,coffee_shop
SQ *Barista INDIA,coffee_shop
TRX Barista 001,coffee_shop
IMPS Barista INDIA,coffee_shop
PAY Barista 123,coffee_shop
SQ *Barista 123,coffee_shop
SQ *Barista HYD,coffee_shop
UPI Barista INDIA,coffee_shop
TRX Barista DEL,coffee_shop
UPI Barista INDIA,coffee_shop
PAY Barista 001,coffee_shop
SWIPE Barista,coffee_shop
UPI Barista,coffee_shop
UPI Barista INDIA,coffee_shop
UPI Barista 001,coffee_shop
Barista INDIA,coffee_shop
SQ *Barista HYD,coffee_shop
TRX Barista DEL,coffee_shop
IMPS Barista,coffee_shop
SQ *Barista 001,coffee_shop
SWIPE Barista BLR,coffee_shop
SWIPE Barista 001,coffee_shop
TRX Barista,coffee_shop
UPI Barista,coffee_shop
UPI Barista,coffee_shop
SWIPE Barista DEL,coffee_shop
Barista INDIA,coffee_shop
Barista HYD,coffee_shop
UPI Barista,coffee_shop
SQ *Barista 001,coffee_shop
UPI Barista,coffee_shop
SQ *Barista,coffee_shop
TRX Barista DEL,coffee_shop
SWIPE Barista,coffee_shop
SQ *Barista DEL,coffee_shop
SQ *Barista,coffee_shop
UPI Barista,coffee_shop
UPI Barista HYD,coffee_shop
UPI Barista 001,coffee_shop
SWIPE Barista,coffee_shop
SQ *Barista,coffee_shop
SQ *Barista HYD,coffee_shop
PAY CCD,coffee_shop
SQ *CCD BLR,coffee_shop
TRX CCD INDIA,coffee_shop
SWIPE CCD INDIA,coffee_shop
UPI CCD,coffee_shop
IMPS CCD INDIA,coffee_shop
UPI CCD,coffee_shop
TRX CCD DEL,coffee_shop
UPI CCD 001,coffee_shop
UPI CCD,coffee_shop
TRX CCD HYD,coffee_shop
UPI CCD BLR,coffee_shop
IMPS CCD,coffee_shop
SWIPE CCD,coffee_shop
CCD,coffee_shop
SQ *CCD 001,coffee_shop
SWIPE CCD HYD,coffee_shop
UPI CCD,coffee_shop
TRX CCD HYD,coffee_shop
PAY CCD 123,coffee_shop
SQ *CCD DEL,coffee_shop
IMPS CCD,coffee_shop
SWIPE CCD BLR,coffee_shop
CCD,coffee_shop
SQ *CCD DEL,coffee_shop
CCD HYD,coffee_shop
SQ *CCD,coffee_shop
IMPS CCD DEL,coffee_shop
IMPS CCD BLR,coffee_shop
UPI CCD,coffee_shop
UPI CCD INDIA,coffee_shop
SQ *CCD INDIA,coffee_shop
IMPS CCD,coffee_shop
CCD,coffee_shop
SQ *CCD BLR,coffee_shop
IMPS CCD 001,coffee_shop
SWIPE CCD,coffee_shop
CCD,coffee_shop
CCD HYD,coffee_shop
TRX CCD BLR,coffee_shop
IMPS CCD INDIA,coffee_shop
CCD 123,coffee_shop
IMPS CCD,coffee_shop
IMPS CCD 123,coffee_shop
IMPS CCD HYD,coffee_shop
TRX CCD BLR,coffee_shop
SWIPE CCD,coffee_shop
SQ *CCD,coffee_shop
UPI CCD HYD,coffee_shop
UPI CCD 123,coffee_shop
Third Wave Coffee DEL,coffee_shop
UPI Third Wave Coffee 123,coffee_shop
Third Wave Coffee,coffee_shop
SQ *Third Wave Coffee 123,coffee_shop
IMPS Third Wave Coffee DEL,coffee_shop
UPI Third Wave Coffee BLR,coffee_shop
IMPS Third Wave Coffee HYD,coffee_shop
UPI Third Wave Coffee HYD,coffee_shop
SQ *Third Wave Coffee BLR,coffee_shop
UPI Third Wave Coffee 001,coffee_shop
IMPS Third Wave Coffee INDIA,coffee_shop
SWIPE Third Wave Coffee 001,coffee_shop
SQ *Third Wave Coffee BLR,coffee_shop
TRX Third Wave Coffee 123,coffee_shop
IMPS Third Wave Coffee,coffee_shop
TRX Third Wave Coffee DEL,coffee_shop
SQ *Third Wave Coffee HYD,coffee_shop
SWIPE Third Wave Coffee BLR,coffee_shop
TRX Third Wave Coffee,coffee_shop
SQ *Third Wave Coffee DEL,coffee_shop
UPI Third Wave Coffee HYD,coffee_shop
TRX Third Wave Coffee BLR,coffee_shop
SQ *Third Wave Coffee HYD,coffee_shop
Third Wave Coffee,coffee_shop
SQ *Third Wave Coffee,coffee_shop
TRX Third Wave Coffee INDIA,coffee_shop
TRX Third Wave Coffee INDIA,coffee_shop
Third Wave Coffee 123,coffee_shop
IMPS Third Wave Coffee DEL,coffee_shop
SWIPE Third Wave Coffee 123,coffee_shop
SQ *Third Wave Coffee,coffee_shop
TRX Third Wave Coffee,coffee_shop
SQ *Third Wave Coffee DEL,coffee_shop
UPI Third Wave Coffee,coffee_shop
TRX Third Wave Coffee,coffee_shop
SWIPE Third Wave Coffee BLR,coffee_shop
UPI Third Wave Coffee HYD,coffee_shop
IMPS Third Wave Coffee BLR,coffee_shop
PAY Third Wave Coffee HYD,coffee_shop
PAY Third Wave Coffee INDIA,coffee_shop
PAY Third Wave Coffee 001,coffee_shop
TRX Third Wave Coffee HYD,coffee_shop
Third Wave Coffee DEL,coffee_shop
PAY Third Wave Coffee HYD,coffee_shop
UPI Third Wave Coffee,coffee_shop
SQ *Third Wave Coffee BLR,coffee_shop
SQ *Third Wave Coffee,coffee_shop
Third Wave Coffee 001,coffee_shop
PAY Third Wave Coffee,coffee_shop
SWIPE Third Wave Coffee 123,coffee_shop
Blue Tokai BLR,coffee_shop
PAY Blue Tokai 123,coffee_shop
TRX Blue Tokai,coffee_shop
SQ *Blue Tokai HYD,coffee_shop
SQ *Blue Tokai 123,coffee_shop
UPI Blue Tokai DEL,coffee_shop
IMPS Blue Tokai 001,coffee_shop
UPI Blue Tokai 123,coffee_shop
SQ *Blue Tokai 001,coffee_shop
PAY Blue Tokai BLR,coffee_shop
PAY Blue Tokai INDIA,coffee_shop
Blue Tokai 001,coffee_shop
SWIPE Blue Tokai,coffee_shop
TRX Blue Tokai,coffee_shop
IMPS Blue Tokai 123,coffee_shop
Blue Tokai,coffee_shop
SWIPE Blue Tokai,coffee_shop
UPI Blue Tokai INDIA,coffee_shop
SQ *Blue Tokai,coffee_shop
IMPS Blue Tokai DEL,coffee_shop
PAY Blue Tokai 123,coffee_shop
Blue Tokai INDIA,coffee_shop
UPI Blue Tokai,coffee_shop
TRX Blue Tokai DEL,coffee_shop
SWIPE Blue Tokai,coffee_shop
SQ *Blue Tokai,coffee_shop
PAY Blue Tokai,coffee_shop
SQ *Blue Tokai 001,coffee_shop
SQ *Blue Tokai INDIA,coffee_shop
UPI Blue Tokai BLR,coffee_shop
UPI Blue Tokai INDIA,coffee_shop
TRX Blue Tokai,coffee_shop
IMPS Blue Tokai,coffee_shop
Blue Tokai BLR,coffee_shop
UPI Blue Tokai,coffee_shop
Blue Tokai BLR,coffee_shop
UPI Blue Tokai DEL,coffee_shop
Blue Tokai 001,coffee_shop
SQ *Blue Tokai BLR,coffee_shop
PAY Blue Tokai,coffee_shop
UPI Blue Tokai,coffee_shop
SQ *Blue Tokai 001,coffee_shop
SWIPE Blue Tokai,coffee_shop
IMPS Blue Tokai INDIA,coffee_shop
TRX Blue Tokai,coffee_shop
SQ *Blue Tokai 001,coffee_shop
IMPS Blue Tokai,coffee_shop
SQ *Blue Tokai BLR,coffee_shop
PAY Blue Tokai,coffee_shop
TRX Blue Tokai,coffee_shop
SWIPE BigBasket DEL,grocery
SQ *BigBasket 123,grocery
SQ *BigBasket DEL,grocery
IMPS BigBasket,grocery
PAY BigBasket,grocery
IMPS BigBasket,grocery
PAY BigBasket DEL,grocery
SWIPE BigBasket,grocery
TRX BigBasket 001,grocery
SQ *BigBasket 123,grocery
TRX BigBasket 001,grocery
PAY BigBasket 001,grocery
SQ *BigBasket 123,grocery
IMPS BigBasket HYD,grocery
SWIPE BigBasket 001,grocery
PAY BigBasket HYD,grocery
IMPS BigBasket 123,grocery
TRX BigBasket INDIA,grocery
SWIPE BigBasket 001,grocery
BigBasket DEL,grocery
BigBasket 001,grocery
SWIPE BigBasket BLR,grocery
IMPS BigBasket BLR,grocery
SQ *BigBasket INDIA,grocery
UPI BigBasket,grocery
UPI BigBasket,grocery
UPI BigBasket 001,grocery
BigBasket 001,grocery
SQ *BigBasket 001,grocery
TRX BigBasket,grocery
UPI BigBasket,grocery
UPI BigBasket 001,grocery
SQ *BigBasket,grocery
TRX BigBasket BLR,grocery
PAY BigBasket INDIA,grocery
UPI BigBasket,grocery
PAY BigBasket HYD,grocery
SQ *BigBasket BLR,grocery
TRX BigBasket 001,grocery
SWIPE BigBasket BLR,grocery
IMPS BigBasket 001,grocery
TRX BigBasket,grocery
TRX BigBasket DEL,grocery
SWIPE BigBasket INDIA,grocery
UPI BigBasket BLR,grocery
UPI BigBasket,grocery
UPI BigBasket 123,grocery
IMPS BigBasket,grocery
IMPS BigBasket,grocery
IMPS BigBasket HYD,grocery
DMart 001,grocery
TRX DMart,grocery
SWIPE DMart,grocery
IMPS DMart,grocery
SWIPE DMart INDIA,grocery
UPI DMart,grocery
TRX DMart DEL,grocery
PAY DMart 123,grocery
PAY DMart INDIA,grocery
SQ *DMart HYD,grocery
DMart 123,grocery
PAY DMart,grocery
DMart BLR,grocery
SQ *DMart DEL,grocery
SQ *DMart DEL,grocery
SWIPE DMart HYD,grocery
PAY DMart 123,grocery
SQ *DMart,grocery
SWIPE DMart,grocery
TRX DMart,grocery
DMart 001,grocery
PAY DMart 001,grocery
SQ *DMart,grocery
DMart,grocery
PAY DMart,grocery
DMart 001,grocery
SWIPE DMart INDIA,grocery
SWIPE DMart 123,grocery
UPI DMart HYD,grocery
